{<2025-06-14 07:33:25>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:27>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:27>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:27>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:28>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:28>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:28>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:30>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:30>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:30>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:30>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:31>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:31>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:33>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:33>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:33>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:33>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:34>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:34>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:36>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:36>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:37>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:37>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:38>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:38>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:38>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:39>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:39>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:40>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:40>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:41>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:41>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:42>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:42>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:43>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:43>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:44>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:44>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:45>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:45>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:45>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:45>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:47>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:47>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:48>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:48>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:48>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:48>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:50>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:50>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:51>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:51>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:51>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:51>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:53>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:53>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:54>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:54>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:54>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:54>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:55>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:55>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:57>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:57>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:57>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:57>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:33:58>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:33:58>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:00>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:00>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:00>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:00>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
